created_at,username,full_text,cleaning,case_folding,normalisasi,kata_baku,kata_tidak_baku,tokenize,stop_removal,stop_removal_joined
Thu Apr 10 05:13:17 +0000 2025,semutapi_media,Ini bukan efisiensi ini pengabaian sistematis terhadap kecerdasan bangsa. Baca selengkapnya https://t.co/js22xQrowz Penulis: Muhammad Rifai Nugroho #Efisiensianggaran #IndonesiaEmas #Prabowo #Pendidikan #IndonesiaGelap,Ini bukan efisiensi ini pengabaian sistematis terhadap kecerdasan bangsa Baca selengkapnya  Penulis Muhammad Rifai Nugroho Efisiensianggaran IndonesiaEmas Prabowo Pendidikan IndonesiaGelap,ini bukan efisiensi ini pengabaian sistematis terhadap kecerdasan bangsa baca selengkapnya  penulis muhammad rifai nugroho efisiensianggaran indonesiaemas prabowo pendidikan indonesiagelap,ini bukan efisiensi ini pengabaian sistematis terhadap kecerdasan bangsa baca selengkapnya penulis muhammad rifai nugroho efisiensianggaran indonesiaemas prabowo pendidikan indonesiagelap,[],[],"['ini', 'bukan', 'efisiensi', 'ini', 'pengabaian', 'sistematis', 'terhadap', 'kecerdasan', 'bangsa', 'baca', 'selengkapnya', 'penulis', 'muhammad', 'rifai', 'nugroho', 'efisiensianggaran', 'indonesiaemas', 'prabowo', 'pendidikan', 'indonesiagelap']","['efisiensi', 'pengabaian', 'sistematis', 'kecerdasan', 'bangsa', 'baca', 'selengkapnya', 'penulis', 'muhammad', 'rifai', 'nugroho', 'efisiensianggaran', 'indonesiaemas', 'prabowo', 'pendidikan', 'indonesiagelap']",efisiensi pengabaian sistematis kecerdasan bangsa baca selengkapnya penulis muhammad rifai nugroho efisiensianggaran indonesiaemas prabowo pendidikan indonesiagelap
Thu Apr 10 03:36:25 +0000 2025,Mudzkh,Mesin pengering tangan di wastafel toilet pada dicopotin kata OB habis kontraknya g diperpanjang #efisiensianggaran,Mesin pengering tangan di wastafel toilet pada dicopotin kata OB habis kontraknya g diperpanjang efisiensianggaran,mesin pengering tangan di wastafel toilet pada dicopotin kata ob habis kontraknya g diperpanjang efisiensianggaran,mesin pengering tangan di wastafel toilet pada dicopotin kata ob habis kontraknya tidak diperpanjang efisiensianggaran,['tidak'],['g'],"['mesin', 'pengering', 'tangan', 'di', 'wastafel', 'toilet', 'pada', 'dicopotin', 'kata', 'ob', 'habis', 'kontraknya', 'tidak', 'diperpanjang', 'efisiensianggaran']","['mesin', 'pengering', 'tangan', 'wastafel', 'toilet', 'dicopotin', 'ob', 'habis', 'kontraknya', 'diperpanjang', 'efisiensianggaran']",mesin pengering tangan wastafel toilet dicopotin ob habis kontraknya diperpanjang efisiensianggaran
Wed Apr 09 11:40:48 +0000 2025,RADARSOLO_,Dilema Pariwisata Solo Pasca Lebaran: Efisiensi Anggaran Picu Kekhawatiran Asita Destinasi Baru Jadi Andalan Pemkot #PARIWISATA #EFISIENSIANGGARAN #destinasiwisata https://t.co/ASeowrqSez,Dilema Pariwisata Solo Pasca Lebaran Efisiensi Anggaran Picu Kekhawatiran Asita Destinasi Baru Jadi Andalan Pemkot PARIWISATA EFISIENSIANGGARAN destinasiwisata ,dilema pariwisata solo pasca lebaran efisiensi anggaran picu kekhawatiran asita destinasi baru jadi andalan pemkot pariwisata efisiensianggaran destinasiwisata ,dilema pariwisata solo pasca lebaran efisiensi anggaran picu kekhawatiran asita destinasi baru jadi andalan pemkot pariwisata efisiensianggaran destinasiwisata,[],[],"['dilema', 'pariwisata', 'solo', 'pasca', 'lebaran', 'efisiensi', 'anggaran', 'picu', 'kekhawatiran', 'asita', 'destinasi', 'baru', 'jadi', 'andalan', 'pemkot', 'pariwisata', 'efisiensianggaran', 'destinasiwisata']","['dilema', 'pariwisata', 'solo', 'pasca', 'lebaran', 'efisiensi', 'anggaran', 'picu', 'kekhawatiran', 'asita', 'destinasi', 'andalan', 'pemkot', 'pariwisata', 'efisiensianggaran', 'destinasiwisata']",dilema pariwisata solo pasca lebaran efisiensi anggaran picu kekhawatiran asita destinasi andalan pemkot pariwisata efisiensianggaran destinasiwisata
Wed Apr 09 06:43:19 +0000 2025,KaltaraTribun,Di Tengah Efisiensi Anggaran Pemkab Tana Tidung Tetap Upayakan Insentif Guru PAUD dan TK #PemkabTanaTidung #InsentifGuru #PAUD #SKBM #EfisiensiAnggaran #Guru #Insentif #TanaTidung #NonASN #Kaltara https://t.co/NxItM9tyHg via @tribunnews,Di Tengah Efisiensi Anggaran Pemkab Tana Tidung Tetap Upayakan Insentif Guru PAUD dan TK PemkabTanaTidung InsentifGuru PAUD SKBM EfisiensiAnggaran Guru Insentif TanaTidung NonASN Kaltara  via ,di tengah efisiensi anggaran pemkab tana tidung tetap upayakan insentif guru paud dan tk pemkabtanatidung insentifguru paud skbm efisiensianggaran guru insentif tanatidung nonasn kaltara  via ,di tengah efisiensi anggaran pemkab tana tidung tetap upayakan insentif guru paud dan tak pemkabtanatidung insentifguru paud skbm efisiensianggaran guru insentif tanatidung nonasn kaltara via,['tak'],['tk'],"['di', 'tengah', 'efisiensi', 'anggaran', 'pemkab', 'tana', 'tidung', 'tetap', 'upayakan', 'insentif', 'guru', 'paud', 'dan', 'tak', 'pemkabtanatidung', 'insentifguru', 'paud', 'skbm', 'efisiensianggaran', 'guru', 'insentif', 'tanatidung', 'nonasn', 'kaltara', 'via']","['efisiensi', 'anggaran', 'pemkab', 'tana', 'tidung', 'upayakan', 'insentif', 'guru', 'paud', 'pemkabtanatidung', 'insentifguru', 'paud', 'skbm', 'efisiensianggaran', 'guru', 'insentif', 'tanatidung', 'nonasn', 'kaltara', 'via']",efisiensi anggaran pemkab tana tidung upayakan insentif guru paud pemkabtanatidung insentifguru paud skbm efisiensianggaran guru insentif tanatidung nonasn kaltara via
Wed Apr 09 03:45:49 +0000 2025,kompascom,Tak Lagi Dianggarkan Insentif Guru di Kaltara Dihapus demi Efisiensi ~SA #EfisiensiAnggaran #Insentif #Guru https://t.co/VEuquTPnQE,Tak Lagi Dianggarkan Insentif Guru di Kaltara Dihapus demi Efisiensi SA EfisiensiAnggaran Insentif Guru ,tak lagi dianggarkan insentif guru di kaltara dihapus demi efisiensi sa efisiensianggaran insentif guru ,tak lagi dianggarkan insentif guru di kaltara dihapus demi efisiensi sa efisiensianggaran insentif guru,[],[],"['tak', 'lagi', 'dianggarkan', 'insentif', 'guru', 'di', 'kaltara', 'dihapus', 'demi', 'efisiensi', 'sa', 'efisiensianggaran', 'insentif', 'guru']","['dianggarkan', 'insentif', 'guru', 'kaltara', 'dihapus', 'efisiensi', 'sa', 'efisiensianggaran', 'insentif', 'guru']",dianggarkan insentif guru kaltara dihapus efisiensi sa efisiensianggaran insentif guru
Mon Apr 07 01:48:20 +0000 2025,RADARSOLO_,Dampak Efisiensi Anggaran Hotel di Solo Ikut Terdampak #efisiensi #efisiensianggaran #hotelterdampak #kotasolo https://t.co/GER3c5zNuC,Dampak Efisiensi Anggaran Hotel di Solo Ikut Terdampak efisiensi efisiensianggaran hotelterdampak kotasolo ,dampak efisiensi anggaran hotel di solo ikut terdampak efisiensi efisiensianggaran hotelterdampak kotasolo ,dampak efisiensi anggaran hotel di solo ikut terdampak efisiensi efisiensianggaran hotelterdampak kotasolo,[],[],"['dampak', 'efisiensi', 'anggaran', 'hotel', 'di', 'solo', 'ikut', 'terdampak', 'efisiensi', 'efisiensianggaran', 'hotelterdampak', 'kotasolo']","['dampak', 'efisiensi', 'anggaran', 'hotel', 'solo', 'terdampak', 'efisiensi', 'efisiensianggaran', 'hotelterdampak', 'kotasolo']",dampak efisiensi anggaran hotel solo terdampak efisiensi efisiensianggaran hotelterdampak kotasolo
Sat Mar 29 04:14:46 +0000 2025,TubasMediaCom,Imbas Efisiensi Anggaran Besar-besaran Prabowo Industri #Perhotelan Terancam Gulung Tikar https://t.co/nqpiY1F3Ln #efisiensianggaran #prabowo,Imbas Efisiensi Anggaran Besarbesaran Prabowo Industri Perhotelan Terancam Gulung Tikar  efisiensianggaran prabowo,imbas efisiensi anggaran besarbesaran prabowo industri perhotelan terancam gulung tikar  efisiensianggaran prabowo,imbas efisiensi anggaran besarbesaran prabowo industri perhotelan terancam gulung tikar efisiensianggaran prabowo,[],[],"['imbas', 'efisiensi', 'anggaran', 'besarbesaran', 'prabowo', 'industri', 'perhotelan', 'terancam', 'gulung', 'tikar', 'efisiensianggaran', 'prabowo']","['imbas', 'efisiensi', 'anggaran', 'besarbesaran', 'prabowo', 'industri', 'perhotelan', 'terancam', 'gulung', 'tikar', 'efisiensianggaran', 'prabowo']",imbas efisiensi anggaran besarbesaran prabowo industri perhotelan terancam gulung tikar efisiensianggaran prabowo
Thu Mar 27 11:53:21 +0000 2025,TubasMediaCom,Dampak Buruk Efisiensi Anggaran Telah Menelan Korban Satu per Satu #Hotel Mulai Tumbang https://t.co/7FlWWPljWm #efisiensianggaran #hotelpeninsula #PHRI,Dampak Buruk Efisiensi Anggaran Telah Menelan Korban Satu per Satu Hotel Mulai Tumbang  efisiensianggaran hotelpeninsula PHRI,dampak buruk efisiensi anggaran telah menelan korban satu per satu hotel mulai tumbang  efisiensianggaran hotelpeninsula phri,dampak buruk efisiensi anggaran telah menelan korban satu per satu hotel mulai tumbang efisiensianggaran hotelpeninsula phri,[],[],"['dampak', 'buruk', 'efisiensi', 'anggaran', 'telah', 'menelan', 'korban', 'satu', 'per', 'satu', 'hotel', 'mulai', 'tumbang', 'efisiensianggaran', 'hotelpeninsula', 'phri']","['dampak', 'buruk', 'efisiensi', 'anggaran', 'menelan', 'korban', 'hotel', 'tumbang', 'efisiensianggaran', 'hotelpeninsula', 'phri']",dampak buruk efisiensi anggaran menelan korban hotel tumbang efisiensianggaran hotelpeninsula phri
Thu Mar 27 05:20:13 +0000 2025,InnfoA1,Pemerintah dan yang mana yg gak boleh? Pls bantu jawab guys #YusrilIhzaMahendra #OECD #AntiCorruption #IntegrityForum #Indonesia #GoodGovernance #DigitalForensics #AI #Transparency #LawAndJustice #EfisiensiAnggaran #ForumInternasional,Pemerintah dan yang mana yg gak boleh? Pls bantu jawab guys YusrilIhzaMahendra OECD AntiCorruption IntegrityForum Indonesia GoodGovernance DigitalForensics AI Transparency LawAndJustice EfisiensiAnggaran ForumInternasional,pemerintah dan yang mana yg gak boleh? pls bantu jawab guys yusrilihzamahendra oecd anticorruption integrityforum indonesia goodgovernance digitalforensics ai transparency lawandjustice efisiensianggaran foruminternasional,pemerintah dan yang mana yang tidak boleh? pls bantu jawab guys yusrilihzamahendra oecd anticorruption integrityforum indonesia goodgovernance digitalforensics ai transparency lawandjustice efisiensianggaran foruminternasional,"['yang', 'tidak']","['yg', 'gak']","['pemerintah', 'dan', 'yang', 'mana', 'yang', 'tidak', 'boleh?', 'pls', 'bantu', 'jawab', 'guys', 'yusrilihzamahendra', 'oecd', 'anticorruption', 'integrityforum', 'indonesia', 'goodgovernance', 'digitalforensics', 'ai', 'transparency', 'lawandjustice', 'efisiensianggaran', 'foruminternasional']","['pemerintah', 'boleh?', 'pls', 'bantu', 'guys', 'yusrilihzamahendra', 'oecd', 'anticorruption', 'integrityforum', 'indonesia', 'goodgovernance', 'digitalforensics', 'ai', 'transparency', 'lawandjustice', 'efisiensianggaran', 'foruminternasional']",pemerintah boleh? pls bantu guys yusrilihzamahendra oecd anticorruption integrityforum indonesia goodgovernance digitalforensics ai transparency lawandjustice efisiensianggaran foruminternasional
Wed Mar 26 06:59:40 +0000 2025,dustyrosepjy,Maaf yah ponakan2ku tahun ini thrnya dipotong 50% dari tahun lalu soalnya #efisiensianggaran,Maaf yah ponakanku tahun ini thrnya dipotong  dari tahun lalu soalnya efisiensianggaran,maaf yah ponakanku tahun ini thrnya dipotong  dari tahun lalu soalnya efisiensianggaran,maaf ya ponakanku tahun ini thrnya dipotong dari tahun lalu soalnya efisiensianggaran,['ya'],['yah'],"['maaf', 'ya', 'ponakanku', 'tahun', 'ini', 'thrnya', 'dipotong', 'dari', 'tahun', 'lalu', 'soalnya', 'efisiensianggaran']","['maaf', 'ya', 'ponakanku', 'thrnya', 'dipotong', 'efisiensianggaran']",maaf ya ponakanku thrnya dipotong efisiensianggaran
