conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username
1,91E+18;Thu Apr 10 05:13:17 +0000 2025;0;Ini bukan efisiensi ini pengabaian sistematis terhadap kecerdasan bangsa. Baca selengkapnya https://t.co/js22xQrowz Penulis: Muhammad Rifai Nugroho #Efisiensianggaran #IndonesiaEmas #Prabowo #Pendidikan #IndonesiaGelap;1,91E+18;;semutapi_media;in;;0;0;0;https://x.com/semutapi_media/status/1910199385117622431;1,43E+18;semutapi_media
1,91E+18;Thu Apr 10 03:36:25 +0000 2025;0;Mesin pengering tangan di wastafel toilet pada dicopotin kata OB habis kontraknya g diperpanjang #efisiensianggaran;1,91E+18;;;in;🌍;0;1;0;https://x.com/Mudzkh/status/1910175004312166644;1217340673;Mudzkh
1,91E+18;Wed Apr 09 11:40:48 +0000 2025;0;Dilema Pariwisata Solo Pasca Lebaran: Efisiensi Anggaran Picu Kekhawatiran Asita Destinasi Baru Jadi Andalan Pemkot #PARIWISATA #EFISIENSIANGGARAN #destinasiwisata https://t.co/ASeowrqSez;1,91E+18;;;in;Surakarta, Jawa Tengah;0;0;0;https://x.com/RADARSOLO_/status/1909934515687916015;8,92E+17;RADARSOLO_
1,91E+18;Wed Apr 09 06:43:19 +0000 2025;0;Di Tengah Efisiensi Anggaran Pemkab Tana Tidung Tetap Upayakan Insentif Guru PAUD dan TK #PemkabTanaTidung #InsentifGuru #PAUD #SKBM #EfisiensiAnggaran #Guru #Insentif #TanaTidung #NonASN #Kaltara https://t.co/NxItM9tyHg via @tribunnews;1,91E+18;;;in;Tanjung Selor;0;0;0;https://x.com/KaltaraTribun/status/1909859652277563877;1,69E+18;KaltaraTribun
1,91E+18;Wed Apr 09 03:45:49 +0000 2025;21;Tak Lagi Dianggarkan Insentif Guru di Kaltara Dihapus demi Efisiensi ~SA #EfisiensiAnggaran #Insentif #Guru https://t.co/VEuquTPnQE;1,91E+18;;;in;Jakarta;5;9;8;https://x.com/kompascom/status/1909814984235958649;23343960;kompascom
1,91E+18;Mon Apr 07 01:48:20 +0000 2025;0;Dampak Efisiensi Anggaran Hotel di Solo Ikut Terdampak #efisiensi #efisiensianggaran #hotelterdampak #kotasolo https://t.co/GER3c5zNuC;1,91E+18;;;in;Surakarta, Jawa Tengah;0;0;0;https://x.com/RADARSOLO_/status/1909060641794736423;8,92E+17;RADARSOLO_
1,91E+18;Sat Mar 29 04:14:46 +0000 2025;0;Imbas Efisiensi Anggaran Besar-besaran Prabowo Industri #Perhotelan Terancam Gulung Tikar https://t.co/nqpiY1F3Ln #efisiensianggaran #prabowo;1,91E+18;;;in;Indonesia;0;0;0;https://x.com/TubasMediaCom/status/1905836002410705106;259697516;TubasMediaCom
1,91E+18;Thu Mar 27 11:53:21 +0000 2025;0;Dampak Buruk Efisiensi Anggaran Telah Menelan Korban Satu per Satu #Hotel Mulai Tumbang https://t.co/7FlWWPljWm #efisiensianggaran #hotelpeninsula #PHRI;1,91E+18;;;in;Indonesia;0;0;0;https://x.com/TubasMediaCom/status/1905226634824737037;259697516;TubasMediaCom
1,91E+18;Thu Mar 27 05:20:13 +0000 2025;1;Pemerintah dan yang mana yg gak boleh? Pls bantu jawab guys #YusrilIhzaMahendra #OECD #AntiCorruption #IntegrityForum #Indonesia #GoodGovernance #DigitalForensics #AI #Transparency #LawAndJustice #EfisiensiAnggaran #ForumInternasional;1,91E+18;;InnfoA1;in;;0;0;0;https://x.com/InnfoA1/status/1905127698868944958;1,87E+18;InnfoA1
1,90E+18;Wed Mar 26 06:59:40 +0000 2025;0;Maaf yah ponakan2ku tahun ini thrnya dipotong 50% dari tahun lalu soalnya #efisiensianggaran;1,90E+18;;;in;;0;0;0;https://x.com/dustyrosepjy/status/1904790339237593103;154966516;dustyrosepjy
1,90E+18;Mon Mar 24 10:20:43 +0000 2025;0;Dengan adanya kebijakan efisiensi anggaran pemerintah yang berdampak pada sektor MICE (Meetings Incentives Conferences Exhibitions) banyak pelaku usaha dan tenaga kerja mengalami kesulitan. #mice #efisiensianggaran #tenagakerja https://t.co/eIUUmjOTfJ;1,90E+18;;;in;NKRI;0;0;0;https://x.com/antaranews/status/1904116159789793621;18071520;antaranews
1,90E+18;Sun Mar 23 03:24:15 +0000 2025;0;Apa saja sih dampak positif dari efisiensi anggaran? Mari kita pelajari. #efisiensianggaran #indonesiaterang #astacita #presidenprabowo https://t.co/N6JhSFUJif;1,90E+18;https://pbs.twimg.com/media/GmsekmqaYAAPU24.jpg;;in;;0;0;0;https://x.com/WujudDamai/status/1903648964454564208;1,63E+18;WujudDamai
1,90E+18;Fri Mar 21 13:30:07 +0000 2025;0;Baca berita selengkapnya di https://t.co/LAg2zD8Akl atau klik tautan yang tertera di bio kami. #unsil #danakemahasiswaan #pendidikanindonesia #pemangkasandana #efisiensianggaran;1,90E+18;;gemercikmedia;in;Tasikmalaya;0;0;0;https://x.com/gemercikmedia/status/1903076657839349955;1,36E+18;gemercikmedia
1,90E+18;Thu Mar 20 05:59:09 +0000 2025;2;Dampak Efisiensi Anggaran Terhadap Mudik Lebaran: Jalan Tak Mulus Jumlah Pemotor Tinggi ~SA #EfisiensiAnggaran #Mudik #Lebaran https://t.co/yK8dSzEOHh;1,90E+18;;;in;Jakarta;0;0;0;https://x.com/kompascom/status/1902600783029223907;23343960;kompascom
1,90E+18;Wed Mar 19 07:48:01 +0000 2025;0;Ketika anggaran pusat dipotong banyak daerah menghadapi ancaman serius. Tanpa transfer dana dari pemerintah pusat mereka bisa kesulitan membayar gaji pegawai membiayai layanan publik hingga melanjutkan proyek pembangunan. #EfisiensiAnggaran https://t.co/MDeXJAICMJ;1,90E+18;https://pbs.twimg.com/ext_tw_video_thumb/1902264521580015616/pu/img/tTatfNJDewCYYWxF.jpg;;in;;0;0;0;https://x.com/NextIndonesia_/status/1902265791128723771;1,89E+18;NextIndonesia_
1,90E+18;Wed Mar 19 07:00:19 +0000 2025;0;Prabowo Subianto menekankan pentingnya efisiensi anggaran untuk memperkuat program-program yang langsung berdampak pada rakyat. #EfisiensiAnggaran #ProgramRakyat https://t.co/WtK1EiIa7P;1,90E+18;https://pbs.twimg.com/media/GmYpvM3aEAA3LD5.jpg;;in;;0;0;0;https://x.com/adilarainbow/status/1902253786611208453;810337231;adilarainbow
1,90E+18;Wed Mar 19 04:24:47 +0000 2025;1;Anggota DPRD Jatim Fraksi PKB Ahmad Tamim menegaskan dukungannya terhadap efisiensi anggaran. Namun ia mengingatkan agar efisiensi tidak mengorbankan sektor pendidikan dan kesehatan yang vital bagi masyarakat. #EfisiensiAnggaran #PendidikanDanKesehatan #PKB #DPRDJatim #FPKB https://t.co/o9x4aQL0Hx;1,90E+18;https://pbs.twimg.com/media/GmYGIlya8AEwvFD.jpg;;in;Indonesia;0;0;0;https://x.com/fraksipkbjatim_/status/1902214646976929802;455614713;fraksipkbjatim_
1,90E+18;Wed Mar 19 01:27:53 +0000 2025;0;Dengan sistem pengawasan yang ketat pengelolaan BUMN dan dana negara diharapkan semakin efisien dan bebas dari penyalahgunaan. #PengelolaanBUMN #AntiKorupsi #EfisiensiAnggaran https://t.co/DJpaTnd2wz;1,90E+18;https://pbs.twimg.com/media/GmXdpega8AA4xxs.jpg;;in;Jawa Timur, Indonesia;0;0;0;https://x.com/FaizaFiona91676/status/1902170125496901794;1,84E+18;FaizaFiona91676
1,90E+18;Tue Mar 18 08:25:51 +0000 2025;1;Kebijakan efisiensi anggaran diarahkan untuk kepentingan rakyat! Tidak menyentuh pelayanan publik &amp;;;;;;;;;;;
1,90E+18;Tue Mar 18 08:23:52 +0000 2025;1;Kebijakan efisiensi APBN hingga Rp 300 Triliun tidak akan berdampak negatif pada sektor pendidikan. Beasiswa untuk mahasiswa tetap berjalan tanpa gangguan. #EfisiensiAnggaran #PendidikanTetapTerjaga #Beasiswa #APBN https://t.co/tkLPsvQDXo;1,90E+18;https://pbs.twimg.com/media/GmTzLxEbsAAd8RF.jpg;;in;;0;0;0;https://x.com/purnawati_vanya/status/1901912423252332693;1,32E+18;purnawati_vanya
1,90E+18;Tue Mar 18 06:50:05 +0000 2025;0;Efisiensi anggaran diperlukan untuk menjaga defisit APBN yang tidak diperlukan. Selain itu uang tersebut bisa diperuntukan untuk hal lainnya. #Prabowo #Gibran #EfisiensiAnggaran https://t.co/uXDYwhheiG;1,90E+18;https://pbs.twimg.com/media/GmTdv3QagAAjs1-.jpg;;in;;0;0;0;https://x.com/ReikaAudi/status/1901888822532796823;1,86E+18;ReikaAudi
1,90E+18;Tue Mar 18 06:44:11 +0000 2025;0;Efisiensi anggaran diperlukan untuk menjaga defisit APBN yang tidak diperlukan. Selain itu uang tersebut bisa diperuntukan untuk hal lainnya. #Prabowo #Gibran #EfisiensiAnggaran https://t.co/UhtKztNgb0;1,90E+18;https://pbs.twimg.com/media/GmTcc9ybAAAmklm.jpg;;in;;0;0;0;https://x.com/ReikaAudi/status/1901887339812859962;1,86E+18;ReikaAudi
1,90E+18;Tue Mar 18 06:44:02 +0000 2025;0;Efisiensi anggaran diperlukan untuk menjaga defisit APBN yang tidak diperlukan. Selain itu uang tersebut bisa diperuntukan untuk hal lainnya. #Prabowo #Gibran #EfisiensiAnggaran https://t.co/qwdPlYWmJl;1,90E+18;https://pbs.twimg.com/media/GmTcavYa0AAlfEV.jpg;;in;;0;0;0;https://x.com/ReikaAudi/status/1901887301053194599;1,86E+18;ReikaAudi
1,90E+18;Tue Mar 18 06:43:52 +0000 2025;0;Efisiensi anggaran diperlukan untuk menjaga defisit APBN yang tidak diperlukan. Selain itu uang tersebut bisa diperuntukan untuk hal lainnya. #Prabowo #Gibran #EfisiensiAnggaran https://t.co/2wPn1TAHFB;1,90E+18;https://pbs.twimg.com/media/GmTcYMybAAA3dNr.jpg;;in;;0;0;0;https://x.com/ReikaAudi/status/1901887257935814892;1,86E+18;ReikaAudi
1,90E+18;Tue Mar 18 03:25:39 +0000 2025;17;Kejagung mengusut kasus korupsi Pertamina murni sebagai upaya dari pemberantasan korupsi. #BerantasKorupsi #pertamina #PrabowoBersihBersih #helevier #indonesiaterang #indonesiacemas #uzaksehir #EfisiensiAnggaran https://t.co/tdw5myhUgU;1,90E+18;https://pbs.twimg.com/media/GmSvA_EakAALOX2.jpg;;in;;1;0;0;https://x.com/cutsarah/status/1901837377095790803;265493504;cutsarah
1,90E+18;Mon Mar 17 10:30:41 +0000 2025;0;Ada aja jawabannya. #DPRRapatMewah #EfisiensiAnggaran #RevisiUUTNI #HotelFairmont #TransparansiDPR https://t.co/SBrth0baab;1,90E+18;https://pbs.twimg.com/ext_tw_video_thumb/1901581841704095744/pu/img/aYq-jH1Y70XVqnDW.jpg;;in;;0;0;0;https://x.com/inveshit_/status/1901581951342977208;1,88E+18;inveshit_
1,90E+18;Mon Mar 17 05:34:38 +0000 2025;0;Pemkab Sukabumi gelar Rapat Dinas Maret 2025: bahas strategi atasi kemacetan stabilitas harga dan dukungan UMKM. Efisiensi anggaran juga jadi sorotan! #RapatDinas #SukabumiMaju #PelayananPublik #EfisiensiAnggaran https://t.co/2QxNNcPxat;1,90E+18;https://pbs.twimg.com/media/GmOC6r6aAAAQIBf.jpg;;in;Sukabumi, Indonesia;0;0;0;https://x.com/DISKOMINFOSAN/status/1901507446050619418;8,45E+17;DISKOMINFOSAN
1,90E+18;Mon Mar 17 01:58:23 +0000 2025;7;Efisiensi Anggaran Fokus pada Pendidikan Kesehatan dan Makan Bergizi Gratis! Pemerintah menerapkan kebijakan alokasi anggaran yang tepat sasaran untuk memastikan dana negara digunakan secara maksimal demi kesejahteraan rakyat. @kompascom #EfisiensiAnggaran #PrabowoPresiden https://t.co/gJlNWjdh7W;1,90E+18;https://pbs.twimg.com/amplify_video_thumb/1901452947311271936/img/LQ3hCPnxYkWoYXi4.jpg;;in;;0;7;0;https://x.com/AgungLa03498428/status/1901453027791540289;1,83E+18;AgungLa03498428
